"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","FOMI 4CARTAS ESCARCHADOx5uds MOTIVOS","FOMI 4CARTAS ESCARCHADOx5uds MOTIVOS","DIFE SAS","5499","5499.png","$9.936","0","25","TODA OCAS","Toda Ocasión"
"UND ","ACUARELA TORRE CIRCULARx6=36col ICOP","ACUARELA TORRE CIRCULARx6=36col ICOP","ICOPEL","5573","5573.png","$16.524","0","3","GN ","Genérico"
"UND ","SELLO VINTAGE 9000","SELLO VINTAGE 9000","GUAR","5578","5578.png","$7.776","0","33","GN ","Genérico"
"UND ","HORA LOCA DIADEMA NEON","HORA LOCA DIADEMA NEON","FIVAL S.A.S","5585","5585.png","$1.360","80","6","GN ","Genérico"
"UND ","HORA LOCA LLUVIA COSMICA GRUESA","HORA LOCA LLUVIA COSMICA GRUESA","FIVAL S.A.S","5586","5586.png","$945","0","2","GN ","Genérico"
"UND ","CARTILLA LECTURA ABC COLOMBIANO","CARTILLA LECTURA ABC COLOMBIANO","SUSAETA EDICIONES","5594","5594.png","$129","60","1","GN ","Genérico"
"UND ","PAPEL ARROZ","PAPEL ARROZ CJx100hjs 10x14cms","DIFE SAS","5604","5604.png","$14.974","20","5","GN ","Genérico"
"UND ","SELLO VINTAGE 5000","SELLO VINTAGE 5000","GUAR","5614","5614.png","$4.320","0","7","GN ","Genérico"
"UND ","FOMI 4CARTAS c/LENTEJxud","FOMI 4CARTAS c/LENTEJxud 60x40cms","FORMAS Y COLORES","5642","5642.png","$3.767","4","2","ROJO ","Rojo"
"UND ","FOMI 4CARTAS c/LENTEJxud","FOMI 4CARTAS c/LENTEJxud 60x40cms","FORMAS Y COLORES","5642","5642.png","$3.767","4","4","AMARILLO ","Amarillo "
"UND ","FOMI 4CARTAS c/LENTEJxud","FOMI 4CARTAS c/LENTEJxud 60x40cms","FORMAS Y COLORES","5642","5642.png","$3.767","4","3","AZ CELEST","Azul Celeste"
"UND ","FOMI 4CARTAS c/LENTEJxud","FOMI 4CARTAS c/LENTEJxud 60x40cms","FORMAS Y COLORES","5642","5642.png","$3.767","4","5","FUCSIA ","Fucsia "
"UND ","COLOR ACRIL PROF FLUORESCENTE","COLOR ACRIL PROF FLUORESCENTE 45cc","ROSETA INDUSTRIAL","5684","5684.png","$2.420","28","2","NJA ELECT","Naranja Elect"
"UND ","COLOR ACRIL PROF FLUORESCENTE","COLOR ACRIL PROF FLUORESCENTE 45cc","ROSETA INDUSTRIAL","5684","5684.png","$2.420","28","3","AMAR ELEC","Amar Elec"
"UND ","COLOR ACRIL PROF FLUORESCENTE","COLOR ACRIL PROF FLUORESCENTE 45cc","ROSETA INDUSTRIAL","5684","5684.png","$2.420","28","13","VD MANZAN","Verde Manzana"
"UND ","COLOR ACRIL PROF FLUORESCENTE","COLOR ACRIL PROF FLUORESCENTE 45cc","ROSETA INDUSTRIAL","5684","5684.png","$2.420","28","2","CERZ FLUO","Cer Fluo"
"UND ","BOLSA COTILLON POLKA 10399A 5","BOLSA COTILLON POLKA x 10uds 10399A 5","FANTASIAS GUZMAN","5686","5686.png","$8.640","0","2","GN ","Genérico"
"UND ","SEMP MUNDIAL VASOS 9ONZ","SEMP MUNDIAL VASOS 9ONZ x 8uds","SEMPERTEX","5692","5692.png","$1.801","44","4","GN ","Genérico"
